days
67
bus
16a-b
stop
1a
7	06193650
8	0214263850
9	031322354956
10	11224157
11	13284458
12	13274053
13	0620324354
14	0516273850
15	0112243750
16	0316294255
17	0821344859
18	12253851
19	0416283950
20	0113274157
21	1637
22	002046
23	1242
stop
87a
6	2646
7	09223953
8	0517294153
9	061625385259
10	142544
11	00163147
12	0116304356
13	0923354657
14	0819304153
15	0415274053
16	0619324558
17	11243751
18	0215284154
19	0719314253
20	04163044
21	001940
22	032349
23	1545
stop
30a
6	2747
7	10234054
8	0618304254
9	0717263953
10	00152645
11	01173248
12	0217314457
13	1024364758
14	0920314254
15	0516284154
16	0720334659
17	12253852
18	0316294255
19	0820324354
20	05173145
21	012041
22	042450
23	1646
bus
16b-a
stop
30b
6	3151
7	14304558
8	1022344658
9	1020314356
10	07203449
11	05203652
12	06203548
13	0114284052
14	021324354658
15	0820324558
16	11243750
17	0316294257
18	0720334659
19	11233547
20	0013223648
21	042344
22	062955
23	2148
stop
87b
6	3252
7	15314659
8	1123354759
9	1121324457
10	08213550
11	06213753
12	07213649
13	0215294153
14	031425364759
15	0921334659
16	12253851
17	0417304358
18	08213447
19	0012243648
20	0114233749
21	052445
22	073056
23	2249
stop
86b
6	3555
7	183449
8	0214263850
9	0214243547
10	0011243853
11	09244056
12	10243952
13	0518324456
14	0617283950
15	0212243649
16	0215284154
17	07203346
18	0111243750
19	0315273951
20	0417264052
21	082748
22	103359
23	2552
stop
85b
6	3757
7	203651
8	0416284052
9	0416263749
10	0213264055
11	11264258
12	12264154
13	0720344658
14	0819304152
15	0414263851
16	0417304356
17	09223548
18	0313263952
19	0517294153
20	0619284254
21	102950
22	1235
23	012754
stop
84b
6	3858
7	213752
8	0517294153
9	0517273850
10	0314274156
11	12274359
12	13274255
13	0821354759
14	0920314253
15	0515273952
16	0518314457
17	10233649
18	0414274053
19	0618304254
20	0720294355
21	113051
22	1336
23	022855
stop
52b
6	40
7	00233954
8	0719314355
9	0719294052
10	0516294358
11	142945
12	0115294457
13	10233749
14	011122334455
15	0717294154
16	0720334659
17	12253851
18	0616294255
19	0820324456
20	0922314557
21	133253
22	1538
23	043057
stop
13b
6	43
7	03264257
8	1022344658
9	1022324355
10	08193246
11	01173248
12	04183247
13	0013264052
14	041425364758
15	1020324457
16	10233649
17	0215284154
18	0919324558
19	1123354759
20	12253448
21	00163556
22	1841
23	0733
0	00
stop
12b
6	46
7	062945
8	0013253749
9	011325354658
10	11223549
11	04203551
12	07213550
13	0316294355
14	0717283950
15	0113233547
16	0013263952
17	0518314457
18	12223548
19	0114263850
20	0215283751
21	03193859
22	2144
23	1036
0	03
stop
36b
6	48
7	083147
8	0215273951
9	0315273748
10	0013243751
11	06223753
12	09233752
13	0518314557
14	0919304152
15	0315253749
16	0215284154
17	0720334659
18	14243750
19	0316284052
20	0417303953
21	052140
22	012346
23	1238
0	05
stop
11b
6	50
7	113450
8	0518304254
9	0618304051
10	0316274054
11	09254056
12	12264055
13	08213448
14	001222334455
15	0618284052
16	0518314457
17	10233649
18	0217274053
19	0619314355
20	0720334256
21	072342
22	032548
23	1440
0	07
stop
10b
6	52
7	133652
8	0720324456
9	0820324253
10	0518294256
11	11274258
12	14284257
13	10233650
14	021424354657
15	0820304254
16	0720334659
17	12253851
18	0419294255
19	0821334557
20	0922354458
21	092544
22	052750
23	1642
0	09
stop
9b
6	54
7	153854
8	0922344658
9	1022344455
10	0720314458
11	132944
12	0016304459
13	12253852
14	041626374859
15	1022324456
16	09223548
17	0114274053
18	0621314457
19	1023354759
20	11243746
21	00112746
22	072952
23	1844
0	11
stop
8b
6	55
7	163955
8	1023354759
9	1123354556
10	0821324559
11	143045
12	01173145
13	0013263953
14	0517273849
15	001123334557
16	10233649
17	0215284154
18	0722324558
19	11243648
20	0012253847
21	01122847
22	083053
23	1945
0	12
stop
7b
6	56
7	184157
8	12253749
9	011325374758
10	10233447
11	01163247
12	03193347
13	0215284155
14	0719294051
15	021325354759
16	12253851
17	0417304356
18	09243447
19	0012253749
20	0113263948
21	02132948
22	093154
23	2046
0	13
stop
37b
6	58
7	204359
8	14273951
9	0315273949
10	0012253649
11	03183449
12	05213549
13	0417304357
14	0921314253
15	0415273749
16	0114274053
17	0619324558
18	11263649
19	0214273951
20	0315284150
21	04153150
22	113356
23	2248
0	15
stop
6b
7	002346
8	0217304254
9	0618304252
10	0315283952
11	06213752
12	08243852
13	07203346
14	001224344556
15	0718304052
16	0417304356
17	09223548
18	0114293952
19	0517304254
20	0618314453
21	06173352
22	133558
23	2450
0	17
